code,country,year,set_healtchare_capita_outcomes
AUS,Australia,2000,452.467
AUS,Australia,2000,0.401
AUS,Australia,2000,0.465
AUS,Australia,2000,100.0
AUS,Australia,2000,2838.097
AUS,Australia,2000,100.0
AUS,Australia,2000,0.064
AUS,Australia,2000,100.0
AUS,Australia,2000,3290.564
AUS,Australia,2001,474.275
AUS,Australia,2001,0.41
AUS,Australia,2001,0.473
AUS,Australia,2001,100.0
AUS,Australia,2001,3102.412
AUS,Australia,2001,100.0
AUS,Australia,2001,0.063
AUS,Australia,2001,100.0
AUS,Australia,2001,3576.687
AUS,Australia,2002,313.824
AUS,Australia,2002,0.456
AUS,Australia,2002,100.0
AUS,Australia,2002,0.495
AUS,Australia,2002,3662.655
AUS,Australia,2002,100.0
AUS,Australia,2002,0.039
AUS,Australia,2002,100.0
AUS,Australia,2002,3976.479
AUS,Australia,2003,330.501
AUS,Australia,2003,0.379
AUS,Australia,2003,0.418
AUS,Australia,2003,100.0
AUS,Australia,2003,3278.378
AUS,Australia,2003,100.0
AUS,Australia,2003,0.038
AUS,Australia,2003,100.0
AUS,Australia,2003,3608.879
AUS,Australia,2013,0.57
AUS,Australia,2013,100.0
AUS,Australia,2013,9114.071
AUS,Australia,2014,100.0
AUS,Australia,2014,104.0
AUS,Australia,2014,0.039
AUS,Australia,2014,7589.292
AUS,Australia,2014,100.0
AUS,Australia,2014,153.0
AUS,Australia,2014,100.0
AUS,Australia,2014,626.0
AUS,Australia,2014,100.0
AUS,Australia,2014,23.0
AUS,Australia,2014,0.012
AUS,Australia,2014,100.0
AUS,Australia,2014,156.0
AUS,Australia,2014,0.589
AUS,Australia,2014,100.0
AUS,Australia,2014,100.0
AUS,Australia,2014,725.369
AUS,Australia,2014,190.0
AUS,Australia,2014,100.0
AUS,Australia,2014,0.467
AUS,Australia,2014,0.009
AUS,Australia,2014,0.001
AUS,Australia,2014,100.0
AUS,Australia,2014,0.045
AUS,Australia,2014,9566.661
AUS,Australia,2014,0.01
AUS,Australia,2014,0.006
AUS,Australia,2015,100.0
AUS,Australia,2015,103.0
AUS,Australia,2015,0.041
AUS,Australia,2015,7601.907
AUS,Australia,2015,100.0
AUS,Australia,2015,157.0
AUS,Australia,2015,100.0
AUS,Australia,2015,687.0
AUS,Australia,2015,100.0
AUS,Australia,2015,31.0
AUS,Australia,2015,0.021
AUS,Australia,2015,100.0
AUS,Australia,2015,113.0
AUS,Australia,2015,0.615
AUS,Australia,2015,100.0
AUS,Australia,2015,343.0
AUS,Australia,2015,100.0
AUS,Australia,2015,0.458
AUS,Australia,2015,0.009
AUS,Australia,2015,100.0
AUS,Australia,2015,10204.837
AUS,Australia,2015,0.007
AUS,Australia,2015,0.006
AUS,Australia,2015,1168.93
AUS,Australia,2015,100.0
AUS,Australia,2015,0.002
AUS,Australia,2015,0.07
AUS,Australia,2016,100.0
AUS,Australia,2016,0.72
AUS,Australia,2016,85.0
AUS,Australia,2016,100.0
AUS,Australia,2016,0.044
AUS,Australia,2016,100.0
AUS,Australia,2016,7381.429
AUS,Australia,2016,100.0
AUS,Australia,2016,779.0
AUS,Australia,2016,187.0
AUS,Australia,2016,0.017
AUS,Australia,2016,19.0
AUS,Australia,2016,100.0
AUS,Australia,2016,140.0
AUS,Australia,2016,100.0
AUS,Australia,2016,100.0
AUS,Australia,2016,3777.966
AUS,Australia,2016,100.0
AUS,Australia,2016,0.001
AUS,Australia,2016,0.215
AUS,Australia,2016,12667.395
AUS,Australia,2016,0.008
